day,tick,v7_total,v7_pepper,v7_osmium,v8_total,v8_pepper,v8_osmium
-1,471000,25845,24561,1284,38295,37011,1284
-1,472000,26064,24820,1244,38815,37571,1244
-1,473000,26203,24839,1364,39015,37651,1364
-1,474000,26025,24701,1324,38575,37251,1324
-1,475000,26093,24689,1404,38615,37211,1404
-1,476000,25485,24785,700,38231,37531,700
-1,477000,26061,24737,1324,38695,37371,1324
-1,478000,26239,24837,1402,38973,37571,1402
-1,479000,26330,24821,1509,39040,37531,1509
-1,480000,26251,24853,1398,39009,37611,1398
-1,481000,26269,24945,1324,39135,37811,1324
-1,482000,26304,24980,1324,39215,37891,1324
-1,483000,26191,25015,1176,39147,37971,1176
-1,484000,26426,25104,1322,39493,38171,1322
-1,485000,26410,25088,1322,39453,38131,1322
-1,486000,26210,24960,1250,39061,37811,1250
-1,487000,26320,25142,1178,39349,38171,1178
-1,488000,26432,25254,1178,39549,38371,1178
-1,489000,26441,25299,1142,39593,38451,1142
-1,490000,26543,25344,1199,39730,38531,1199
-1,491000,26993,25794,1199,40530,39331,1199
-1,492000,26406,25142,1264,39435,38171,1264
-1,493000,26866,25504,1362,40132,38771,1362
-1,494000,27192,25578,1614,40465,38851,1614
-1,495000,26705,25571,1134,39945,38811,1134
-1,496000,26246,25712,534,39545,39011,534
-1,497000,26368,25754,614,39705,39091,614
-1,498000,26970,25796,1174,40345,39171,1174
-1,499000,27287,25953,1334,40705,39371,1334
-1,500000,27407,26153,1254,40945,39691,1254
-1,501000,27238,25984,1254,40665,39411,1254
-1,502000,27195,25985,1210,40581,39371,1210
-1,503000,27523,26085,1438,41009,39571,1438
-1,504000,27357,25985,1372,40743,39371,1372
-1,505000,27786,26165,1620,41352,39731,1620
-1,506000,27683,26240,1443,41254,39811,1443
-1,507000,27730,26287,1443,41334,39891,1443
-1,508000,27514,26264,1250,41101,39851,1250
-1,509000,27763,26381,1382,41433,40051,1382
-1,510000,27780,26398,1382,41513,40131,1382
-1,511000,27806,26490,1316,41647,40331,1316
-1,512000,27788,26472,1316,41607,40291,1316
-1,513000,27572,26454,1118,41369,40251,1118
-1,514000,27928,26546,1382,41833,40451,1382
-1,515000,27866,26583,1283,41814,40531,1283
-1,516000,27804,26620,1184,41795,40611,1184
-1,517000,27907,26657,1250,41941,40691,1250
-1,518000,28000,26750,1250,42141,40891,1250
-1,519000,28036,26786,1250,42221,40971,1250
-1,520000,28018,26768,1250,42181,40931,1250
-1,521000,28583,26805,1778,42789,41011,1778
-1,522000,28158,26842,1316,42407,41091,1316
-1,523000,28141,26879,1262,42433,41171,1262
-1,524000,28333,26916,1417,42668,41251,1417
-1,525000,28311,26953,1358,42689,41331,1358
-1,526000,28450,26934,1515,42806,41291,1515
-1,527000,28316,26972,1344,42715,41371,1344
-1,528000,28592,27168,1425,43116,41691,1425
-1,529000,28632,27206,1425,43196,41771,1425
-1,530000,28681,27196,1485,43216,41731,1485
-1,531000,28603,27178,1425,43116,41691,1425
-1,532000,28807,27322,1485,43496,42011,1485
-1,533000,28828,27304,1524,43495,41971,1524
-1,534000,28924,27346,1578,43629,42051,1578
-1,535000,28894,27379,1515,43646,42131,1515
-1,536000,28832,27412,1420,43632,42211,1420
-1,537000,28974,27396,1578,43749,42171,1578
-1,538000,29119,27478,1641,44012,42371,1641
-1,539000,28898,27313,1585,43556,41971,1585
-1,540000,29269,27544,1725,44256,42531,1725
-1,541000,29408,27626,1781,44512,42731,1781
-1,542000,29351,27626,1725,44416,42691,1725
-1,543000,29494,27688,1805,44696,42891,1805
-1,544000,29267,27526,1741,44112,42371,1741
-1,545000,29196,27551,1645,44096,42451,1645
-1,546000,29078,27755,1323,44334,43011,1323
-1,547000,29622,27768,1854,44945,43091,1854
-1,548000,29566,27716,1850,44621,42771,1850
-1,549000,29602,27824,1779,44910,43131,1779
-1,550000,29680,27851,1829,45160,43331,1829
-1,551000,29791,27862,1929,45340,43411,1929
-1,552000,29676,27897,1779,45270,43491,1779
-1,553000,29693,27914,1779,45350,43571,1779
-1,554000,29560,27931,1629,45280,43651,1629
-1,555000,29768,28084,1684,45775,44091,1684
-1,556000,29898,28076,1822,45752,43931,1822
-1,557000,29942,28148,1794,45805,44011,1794
-1,558000,29978,28076,1902,45753,43851,1902
-1,559000,29951,28190,1761,45812,44051,1761
-1,560000,30084,28218,1866,45997,44131,1866
-1,561000,30091,28246,1845,46056,44211,1845
-1,562000,30162,28319,1843,46134,44291,1843
-1,563000,30239,28356,1883,46254,44371,1883
-1,564000,30494,28615,1879,46810,44931,1879
-1,565000,30120,28196,1924,45974,44051,1924
-1,566000,30146,28239,1907,46038,44131,1907
-1,567000,30505,28565,1940,46631,44691,1940
-1,568000,30386,28544,1841,46492,44651,1841
-1,569000,30422,28647,1775,46626,44851,1775
-1,570000,30400,28708,1692,46624,44931,1692
-1,571000,30496,28754,1742,46753,45011,1742
-1,572000,30644,28869,1775,46986,45211,1775
-1,573000,30621,28846,1775,46946,45171,1775
-1,574000,30993,28921,2072,47323,45251,2072
-1,575000,30711,28969,1742,47073,45331,1742
-1,576000,30759,29017,1742,47153,45411,1742
-1,577000,30950,29176,1775,47386,45611,1775
-1,578000,30972,29180,1792,47362,45571,1792
-1,579000,31236,29283,1952,47604,45651,1952
-1,580000,31159,29354,1805,47536,45731,1805
-1,581000,31218,29425,1793,47604,45811,1793
-1,582000,30887,29070,1817,47228,45411,1817
-1,583000,31384,29567,1817,47788,45971,1817
-1,584000,31497,29638,1859,47910,46051,1859
-1,585000,31523,29709,1814,47945,46131,1814
-1,586000,31609,29780,1829,48040,46211,1829
-1,587000,31692,29851,1841,48132,46291,1841
-1,588000,31656,29816,1841,48092,46251,1841
-1,589000,31986,30100,1886,48457,46571,1886
-1,590000,31485,29635,1850,47901,46051,1850
-1,591000,32000,30153,1847,48458,46611,1847
-1,592000,32076,30227,1848,48540,46691,1848
-1,593000,32157,30301,1856,48627,46771,1856
-1,594000,32228,30375,1853,48704,46851,1853
-1,595000,32301,30449,1852,48783,46931,1852
-1,596000,32377,30523,1854,48865,47011,1854
-1,597000,32451,30597,1854,48945,47091,1854
-1,598000,32526,30671,1855,49026,47171,1855
-1,599000,32573,30745,1828,49079,47251,1828
-1,600000,32689,30819,1870,49201,47331,1870
-1,601000,32715,30893,1822,49233,47411,1822
-1,602000,32837,30967,1870,49361,47491,1870
-1,603000,33355,31485,1870,49921,48051,1870
